text,summary,text_trunc,abs_summary,ext_summary
"The sanctions freeze the US assets of those affected, and stop US entities from doing business with them.
Those targeted include the interior minister and the head of the army.
Last week, President Donald Trump vowed ""strong and swift economic actions"" if Mr Maduro held the poll, due on Sunday.
""Who do these imperialists in the United States think they are?"" Mr Maduro said on Wednesday. ""The government of the world?""
He also called the sanctions ""illegal, insolent and unprecedented"".
The vote, which Venezuela says will proceed as planned, is to choose the 545 members of a new constituent assembly that would rival the opposition-held National Assembly.
Critics say the president is trying to cement a dictatorship. He argues it is the only way to bring peace back to the divided nation.
The US sanctions also target the head of Venezuela's National Electoral Council, Tibisay Lucena, and former vice president Elías Jaua, who is leading the presidential commission organising Sunday's vote.
The inclusion of senior figures from the state oil company PDVSA underlines a further threat from Washington that sanctions on Venezuela's oil sector could be next.
Announcing the sanctions, US Treasury Secretary Steven Mnuchin said the US ""will not ignore the Maduro regime's ongoing efforts to undermine democracy, freedom, and the rule of law"".
""Anyone elected to the National Constituent Assembly should know that their role in undermining democratic processes and institutions in Venezuela could expose them to potential US sanctions,"" he said.
Mr Maduro has accused the US of stoking unrest against his government, but President Trump said last week that Washington ""will not stand by as Venezuela crumbles"".
A 48-hour general strike is currently under way in Venezuela, in protest at the planned vote.
A 30-year-old man was killed on Wednesday at a protest in Ejido, in the western state of Mérida. The cause of his death was not initially given.
More than 100 people have been killed in protest-related violence, since almost daily anti-government protests began on 1 April.
The unrest has further hammered an imploding economy that is running short of food and medicine.
Venezuela's opposition is refusing to take part in the elections for the assembly, which it says is a tool for Mr Maduro to entrench himself in power.
On Tuesday, opposition leader Leopoldo López called on Venezuelans to step up street protests, saying the president's plan to rewrite the constitution would bring an end to the country's democracy.
Speaking from his home, where he is held under house arrest, he called on the military to withdraw its support from the government.
""I invite you to not be accomplices to the annihilation of the republic, to a constitutional fraud, to repression,"" he said in a video posted on Twitter [in Spanish].
Demonstrations and a 24-hour strike held last week seem only to have hardened the government's resolve to go ahead with the election.
But the opposition says it is confident it will be able to shut down most of the country until Friday, when a massive demonstration has been scheduled in the capital, Caracas.",The US government has imposed sanctions on 13 senior Venezuelan officials as pressure mounts on President Nicolás Maduro ahead of a controversial vote for a new constituent assembly.,"The sanctions freeze the US assets of those affected, and stop US entities from doing business with them.
Those targeted include the interior minister and the head of the army.
Last week, President Donald Trump vowed ""strong and swift economic actions"" if Mr Maduro held the poll, due on Sunday.
""Who do these imperialists in the United States think they are?"" Mr Maduro said on Wednesday. ""The government of the world?""
He also called the sanctions ""illegal, insolent and unprecedented"".
The vote, which Venezuela says will proceed as planned, is to choose the 545 members of a new constituent assembly that would rival the opposition-held National Assembly.
Critics say the president is trying to cement a dictatorship. He argues it is the only way to bring peace back to the divided nation.
The US sanctions also target the head of Venezuela's National Electoral Council, Tibisay Lucena, and former vice president Elías Jaua, who is leading the presidential commission organising Sunday's vote.
The inclusion of senior figures from the state oil company PDVSA underlines a further threat from Washington that sanctions on Venezuela's oil sector could be next.
Announcing the sanctions, US Treasury Secretary Steven Mnuchin said the US ""will not ignore the Maduro regime's ongoing efforts to undermine democracy, freedom, and the rule of law"".
""Anyone elected to the National Constituent Assembly should know that their role in undermining democratic processes and institutions in Venezuela could expose them to potential US sanctions,"" he said.
Mr Maduro has accused the US of stoking unrest against his government, but President Trump said last week that Washington ""will not stand by as Venezuela crumbles"".
A 48-hour general strike is currently under way in Venezuela, in protest at the planned vote.
A 30-year-old man was killed on Wednesday at a protest in Ejido, in the western state of Mérida. The cause of his death was not initially given.
More than 100 people have been killed in protest-related violence, since almost daily anti-government protests began on 1 April.
The unrest has further hammered an imploding economy that is running short of food and medicine.
Venezuela's opposition is refusing to take part in the elections for the assembly, which it says is a tool for Mr Maduro to entrench himself in power.
On Tuesday, opposition leader Leopoldo López called on Venezuelans to step up street protests, saying the president's plan to rewrite the constitution would bring an end to the country's democracy.
Speaking from his home, where he is held under house arrest, he called on the military to withdraw its support from the government.
""I invite you to not be accomplices to the annihilation of the republic, to a constitutional fraud, to repression,"" he said in a video posted on Twitter [in Spanish].
Demonstrations and a 24-hour strike held last week seem only to have hardened the government's resolve to go ahead with the election.
But the opposition says it is confident ",The US has imposed sanctions on seven senior Venezuelan officials over President Nicolas Maduro's plan to hold elections for a new constituent assembly.,"The sanctions freeze the US assets of those affected, and stop US entities from doing business with them. Those targeted include the interior minister and the head of the army. Last week, President Donald Trump vowed ""strong and swift economic actions"" if Mr Maduro held the poll, due on Sunday."
"Sir Gareth attended a ceremony at Windsor Castle on Thursday, after being named in the Queen's Birthday Honours list in June.
The 68-year-old former scrum half won 53 caps for Wales from 1967 to 1978.
He also won 10 caps for the British Lions' winning series in New Zealand and South Africa.
At 20 he became Wales's youngest captain, and during his era the Welsh side dominated the Five Nations Championship
Originally from Gwaun-Cae-Gurwen in the Swansea Valley, Edwards spent his playing career with Cardiff RFC.
In 1974 Edwards was named BBC Wales Sports Personality of the year.
After his retirement in 1978, he became Captain on the popular sports quiz, Question of Sport.
He now works as a pundit for both the BBC and S4C.
He is married to his childhood sweetheart Maureen and they have two sons, Owen and Rhys.",Wales rugby great Gareth Edwards has been knighted by the Duke of Cambridge in recognition of a glittering sporting career and services to charity.,"Sir Gareth attended a ceremony at Windsor Castle on Thursday, after being named in the Queen's Birthday Honours list in June.
The 68-year-old former scrum half won 53 caps for Wales from 1967 to 1978.
He also won 10 caps for the British Lions' winning series in New Zealand and South Africa.
At 20 he became Wales's youngest captain, and during his era the Welsh side dominated the Five Nations Championship
Originally from Gwaun-Cae-Gurwen in the Swansea Valley, Edwards spent his playing career with Cardiff RFC.
In 1974 Edwards was named BBC Wales Sports Personality of the year.
After his retirement in 1978, he became Captain on the popular sports quiz, Question of Sport.
He now works as a pundit for both the BBC and S4C.
He is married to his childhood sweetheart Maureen and they have two sons, Owen and Rhys.",Former Wales captain Gareth Edwards has been made a CBE in the Queen's Birthday Honours.,"Sir Gareth attended a ceremony at Windsor Castle on Thursday, after being named in the Queen's Birthday Honours list in June. The 68-year-old former scrum half won 53 caps for Wales from 1967 to 1978. He also won 10 caps for the British Lions' winning series in New Zealand and South Africa."
"Emmanuel Manzi from Italy won the event at Llanberis, while Richard Roberts was the first Welsh competitor to finish.
Organisers say the 10-mile (16km) race attracts some of the best mountain racers in Europe.
Snowdon Race tweeted its congratulations to one couple who got engaged after finishing the event.
This year's race start was moved to Llanberis high street, where the very first race began.
""The buzz in this little village come Snowdon Race weekend is unbelievable,"" said organiser Stephen Edwards.",About 600 runners have taken part in the annual mountain race up Snowdon with a series of other events being held to mark its 40th anniversary.,"Emmanuel Manzi from Italy won the event at Llanberis, while Richard Roberts was the first Welsh competitor to finish.
Organisers say the 10-mile (16km) race attracts some of the best mountain racers in Europe.
Snowdon Race tweeted its congratulations to one couple who got engaged after finishing the event.
This year's race start was moved to Llanberis high street, where the very first race began.
""The buzz in this little village come Snowdon Race weekend is unbelievable,"" said organiser Stephen Edwards.","More than 1,000 competitors have taken part in the Snowdon Race, which has been held in the same place since 1979.","Emmanuel Manzi from Italy won the event at Llanberis, while Richard Roberts was the first Welsh competitor to finish. Organisers say the 10-mile (16km) race attracts some of the best mountain racers in Europe. Snowdon Race tweeted its congratulations to one couple who got engaged after finishing the event."
"Rajab, who heads the Bahrain Centre for Human Rights (BCHR), was convicted in 2012 of taking part in illegal gatherings and disturbing public order.
An appeals court later reduced his original three-year term by a year.
He was one of several leading activists arrested by the authorities after pro-democracy protests erupted in 2011.
Soon after his release on Saturday, Rajab told the Associated Press news agency that he was happy to be out after spending more than 600 days in prison.
He also appealed for the release of all political prisoners, the agency added.
Rights groups, including Amnesty International and Human Rights First, have campaigned on behalf of Rajab throughout his prison sentence, calling on the authorities to release him.
In December 2013, a Bahraini court rejected a request by Rajab's lawyers for early release. They argued that he was eligible because he had already served three-quarters of a two-year sentence.
In addition to his role with the BCHR, Mr Rajab is deputy secretary general of the International Federation for Human Rights (FIDH).
Before his imprisonment in July 2012, Mr Rajab was repeatedly detained in connection with the pro-democracy protests that erupted in the Gulf kingdom the previous year.
Amnesty said that he was punched in the face several times by riot police as he led a demonstration in February 2012, and in May 2012 was charged with ""insulting a national institution"" in comments about the interior ministry he posted on Twitter.
In June 2012, Rajab was sentenced to three months in jail over different tweets he wrote about the prime minister. The conviction was eventually overturned on appeal, but only after he had begun his two-year sentence for taking part in unauthorised protests.
At his trial, Mr Rajab told the court that he had been held in dire conditions and subjected to ill treatment, including being placed in solitary confinement with a dead animal and kept almost naked.
BCHR's founder, Abdulhadi al-Khawaja, is serving a life sentence for allegedly plotting to overthrow the government. He was convicted on evidence that was widely accepted as having been secured under torture.",Prominent Bahraini human rights activist Nabeel Rajab has been freed after serving two years in prison for his involvement in illegal protests.,"Rajab, who heads the Bahrain Centre for Human Rights (BCHR), was convicted in 2012 of taking part in illegal gatherings and disturbing public order.
An appeals court later reduced his original three-year term by a year.
He was one of several leading activists arrested by the authorities after pro-democracy protests erupted in 2011.
Soon after his release on Saturday, Rajab told the Associated Press news agency that he was happy to be out after spending more than 600 days in prison.
He also appealed for the release of all political prisoners, the agency added.
Rights groups, including Amnesty International and Human Rights First, have campaigned on behalf of Rajab throughout his prison sentence, calling on the authorities to release him.
In December 2013, a Bahraini court rejected a request by Rajab's lawyers for early release. They argued that he was eligible because he had already served three-quarters of a two-year sentence.
In addition to his role with the BCHR, Mr Rajab is deputy secretary general of the International Federation for Human Rights (FIDH).
Before his imprisonment in July 2012, Mr Rajab was repeatedly detained in connection with the pro-democracy protests that erupted in the Gulf kingdom the previous year.
Amnesty said that he was punched in the face several times by riot police as he led a demonstration in February 2012, and in May 2012 was charged with ""insulting a national institution"" in comments about the interior ministry he posted on Twitter.
In June 2012, Rajab was sentenced to three months in jail over different tweets he wrote about the prime minister. The conviction was eventually overturned on appeal, but only after he had begun his two-year sentence for taking part in unauthorised protests.
At his trial, Mr Rajab told the court that he had been held in dire conditions and subjected to ill treatment, including being placed in solitary confinement with a dead animal and kept almost naked.
BCHR's founder, Abdulhadi al-Khawaja, is serving a life sentence for allegedly plotting to overthrow the government. He was convicted on evidence that was widely accepted as having been secured under torture.",Bahrain has freed prominent human rights activist Nabeel Rajab after he served two-thirds of a three-year prison sentence.,"Rajab, who heads the Bahrain Centre for Human Rights (BCHR), was convicted in 2012 of taking part in illegal gatherings and disturbing public order. An appeals court later reduced his original three-year term by a year. He was one of several leading activists arrested by the authorities after pro-democracy protests erupted in 2011."
"11 August 2015 Last updated at 19:18 BST
Safid has travelled 5,000 miles from his home and is currently one of thousands of migrants living in a camp called the Jungle in Calais, France.
It's thought more than 600 child migrants arrived in the UK without their parents last month alone.
And Safid told Newsround reporter Martin Dougan that he will do whatever it takes to try and get to Britain soon.
Find out why child migrants want to come to the UK",An 11-year-old migrant from Afghanistan has been speaking to Newsround about being separated from his father during a year long trip to try and reach the UK.,"11 August 2015 Last updated at 19:18 BST
Safid has travelled 5,000 miles from his home and is currently one of thousands of migrants living in a camp called the Jungle in Calais, France.
It's thought more than 600 child migrants arrived in the UK without their parents last month alone.
And Safid told Newsround reporter Martin Dougan that he will do whatever it takes to try and get to Britain soon.
Find out why child migrants want to come to the UK","Safid, a five-year-old boy from Afghanistan, is trying to get to the UK to live with his mother.","11 August 2015 Last updated at 19:18 BST
Safid has travelled 5,000 miles from his home and is currently one of thousands of migrants living in a camp called the Jungle in Calais, France. It's thought more than 600 child migrants arrived in the UK without their parents last month alone. And Safid told Newsround reporter Martin Dougan that he will do whatever it takes to try and get to Britain soon."
"Media playback is not supported on this device
The 34-year-old beat three-time champion Tony Martin by 26.23 seconds on a hilly 47.1km course in Spain.
After finishing second to Martin in 2011 and 2013, Wiggins finally has a rainbow jersey on the road to go with the six he has won on the track.
""I knew coming into it that I had the legs,"" Wiggins said afterwards.
""Once I saw the course I realised if I was ever going to beat Tony again it was on a course like this.
""It's been an up and down year - obviously I didn't ride the Tour de France. I want to dedicate this to my family because they had to put up with me when I was at home in July.
""It's my last Road World Championships and I've finished with a gold medal.""
Martin trailed Wiggins by 9.64 seconds at the final time-check and the Briton extended his lead in the final 12km.
Wiggins clocked 56 minutes 25.52 seconds to claim a convincing win over Germany's Martin, who was chasing a fourth-successive title. Tom Dumoulin of the Netherlands finished third.
""I knew it would be difficult on the final loop, but I paced it perfectly and still had pace in the final few kilometres,"" Wiggins explained.
""On my last descent, I heard on the radio that I was 10 seconds up but I pushed all the way to the line because I did not want to take any risks.""
Wiggins collapsed to the ground in exhaustion at the finish line but recovered to raise his thumb in celebration when Martin crossed the line.
Victory in north-west Spain gives the 2012 Tour de France winner a world time trial title to go with his three national titles and gold at the London Olympics in the discipline.
""To add the world title is just fantastic. Now I've got the set,"" added Wiggins.
It is the perfect end to a patchy year on the road and track for Wiggins, who won the Tour of California in May, but then missed out on Team Sky selection for the Tour de France and had to settle for silver in the velodrome in the team pursuit at the Glasgow Commonwealth Games.
His success means he becomes the first British male rider to take world time trial gold since Chris Boardman in the inaugural race in 1994.  Emma Pooley was the last British female to win gold in the event in 2010.
Wiggins has announced that he intends to return to the track for the Rio Olympics in 2016 and also hopes to attempt to break the hour record set by Germany's Jens Voigt last week.
Result:
1.  Bradley Wiggins (GB) 56mins 25.52secs
2.  Tony Martin (Ger) +26secs
3.  Tom Dumoulin (Ned) +41secs
4.  Vasil Kiryienka (Bel) +48secs
5.  Rohan Dennis (Aus) +58secs
Selected other:
20. Alex Dowsett (GB) +2mins 35secs",Great Britain's Sir Bradley Wiggins clinched his first road world title with a thrilling time trial victory at the World Championships in Ponferrada.,"Media playback is not supported on this device
The 34-year-old beat three-time champion Tony Martin by 26.23 seconds on a hilly 47.1km course in Spain.
After finishing second to Martin in 2011 and 2013, Wiggins finally has a rainbow jersey on the road to go with the six he has won on the track.
""I knew coming into it that I had the legs,"" Wiggins said afterwards.
""Once I saw the course I realised if I was ever going to beat Tony again it was on a course like this.
""It's been an up and down year - obviously I didn't ride the Tour de France. I want to dedicate this to my family because they had to put up with me when I was at home in July.
""It's my last Road World Championships and I've finished with a gold medal.""
Martin trailed Wiggins by 9.64 seconds at the final time-check and the Briton extended his lead in the final 12km.
Wiggins clocked 56 minutes 25.52 seconds to claim a convincing win over Germany's Martin, who was chasing a fourth-successive title. Tom Dumoulin of the Netherlands finished third.
""I knew it would be difficult on the final loop, but I paced it perfectly and still had pace in the final few kilometres,"" Wiggins explained.
""On my last descent, I heard on the radio that I was 10 seconds up but I pushed all the way to the line because I did not want to take any risks.""
Wiggins collapsed to the ground in exhaustion at the finish line but recovered to raise his thumb in celebration when Martin crossed the line.
Victory in north-west Spain gives the 2012 Tour de France winner a world time trial title to go with his three national titles and gold at the London Olympics in the discipline.
""To add the world title is just fantastic. Now I've got the set,"" added Wiggins.
It is the perfect end to a patchy year on the road and track for Wiggins, who won the Tour of California in May, but then missed out on Team Sky selection for the Tour de France and had to settle for silver in the velodrome in the team pursuit at the Glasgow Commonwealth Games.
His success means he becomes the first British male rider to take world time trial gold since Chris Boardman in the inaugural race in 1994.  Emma Pooley was the last British female to win gold in the event in 2010.
Wiggins has announced that he intends to return to the track for the Rio Olympics in 2016 and also hopes to attempt to break the hour record set by Germany's Jens Voigt last week.
Result:
1.  Bradley Wiggins (GB) 56mins 25.52secs
2.  Tony Martin (Ger) +26secs
3.  Tom Dumoulin (Ned) +41secs
4.  Vasil Kiryienka (Bel) +48secs
5.  Rohan Dennis (Aus) +58secs
Selected other:
20. Alex Dowsett (GB) +2mins 35secs",Britain's Bradley Wiggins won his third World Championships time trial title with a dominant victory in the penultimate race of the season.,"Media playback is not supported on this device
The 34-year-old beat three-time champion Tony Martin by 26.23 seconds on a hilly 47.1km course in Spain. After finishing second to Martin in 2011 and 2013, Wiggins finally has a rainbow jersey on the road to go with the six he has won on the track. ""I knew coming into it that I had the legs,"" Wiggins said afterwards."
"The lawsuit filed in a federal court in San Francisco argues that the policy is unconstitutional.
Women can serve in front line positions in the US military, but they are barred from ground combat units.
A Pentagon spokesman said 14,500 combat positions had been opened to women under the current defence secretary.
He added that Defence Secretary Leon Panetta had ""directed the services to explore the possibility of opening additional roles for women in the military"".
But ACLU lawyer Ariela Migdal said the changes so far were ""not enough"". The lawsuit argues that continuing restrictions violate servicewomen's constitutional rights to equality.
One of the plaintiffs, Marine Corps Capt Zoe Bedell, said existing rules had blocked her advancement in the Marines.
""The military is the last place where you are allowed to be discriminated against because of your gender,"" she said.
Women account for about 14% of the 1.4 million active US military personnel.
The lawsuit launched on Tuesday says they are barred from 238,000 positions, but also alleges that they are already serving unofficially in combat units.",The American Civil Liberties Union has filed a challenge on behalf of four US servicewomen against a ban on women being deployed in most combat roles.,"The lawsuit filed in a federal court in San Francisco argues that the policy is unconstitutional.
Women can serve in front line positions in the US military, but they are barred from ground combat units.
A Pentagon spokesman said 14,500 combat positions had been opened to women under the current defence secretary.
He added that Defence Secretary Leon Panetta had ""directed the services to explore the possibility of opening additional roles for women in the military"".
But ACLU lawyer Ariela Migdal said the changes so far were ""not enough"". The lawsuit argues that continuing restrictions violate servicewomen's constitutional rights to equality.
One of the plaintiffs, Marine Corps Capt Zoe Bedell, said existing rules had blocked her advancement in the Marines.
""The military is the last place where you are allowed to be discriminated against because of your gender,"" she said.
Women account for about 14% of the 1.4 million active US military personnel.
The lawsuit launched on Tuesday says they are barred from 238,000 positions, but also alleges that they are already serving unofficially in combat units.","The American Civil Liberties Union (ACLU) has filed a lawsuit against the US military, alleging that women are still barred from combat positions.","The lawsuit filed in a federal court in San Francisco argues that the policy is unconstitutional. Women can serve in front line positions in the US military, but they are barred from ground combat units. A Pentagon spokesman said 14,500 combat positions had been opened to women under the current defence secretary."
"Charli XCX, Ella Eyre and Lianne La Havas will appear alongside The Chemical Brothers and Underworld.
Other festivals have been criticised for the lack of women on their bills.
Last week, music blog Crack in the Road posted images of edited posters removing all the names of male performers.
The rather blank-looking page was shared on social media, with the bills at Reading and Leeds, Download and T in the Park also a focus for criticism.
Neneh Cherry, Andreya Triana and Radio 1 DJ B.Traits are among other female acts to be announced by Bestival.
Organiser Rob da Bank said: ""There are shed-loads of amazing people making some startlingly good music at the moment and look, lots of them are female.""
This year's Bestival theme is Summer of Love.
It takes place at Robin Hill Country Park on the Isle of Wight between 10 and 13 September, with 25 stages on offer.
Follow @BBCNewsbeat on Twitter and Radio1Newsbeat on YouTube",Bestival has revealed an all-female line-up in its second wave of announcements for this year's Isle of Wight event.,"Charli XCX, Ella Eyre and Lianne La Havas will appear alongside The Chemical Brothers and Underworld.
Other festivals have been criticised for the lack of women on their bills.
Last week, music blog Crack in the Road posted images of edited posters removing all the names of male performers.
The rather blank-looking page was shared on social media, with the bills at Reading and Leeds, Download and T in the Park also a focus for criticism.
Neneh Cherry, Andreya Triana and Radio 1 DJ B.Traits are among other female acts to be announced by Bestival.
Organiser Rob da Bank said: ""There are shed-loads of amazing people making some startlingly good music at the moment and look, lots of them are female.""
This year's Bestival theme is Summer of Love.
It takes place at Robin Hill Country Park on the Isle of Wight between 10 and 13 September, with 25 stages on offer.
Follow @BBCNewsbeat on Twitter and Radio1Newsbeat on YouTube","The line-up for this year's Bestival has been announced, and it's full of women.","Charli XCX, Ella Eyre and Lianne La Havas will appear alongside The Chemical Brothers and Underworld. Other festivals have been criticised for the lack of women on their bills. Last week, music blog Crack in the Road posted images of edited posters removing all the names of male performers."
"All but one Welsh council had resettled refugees from the UK government's Syrian Vulnerable Persons Resettlement Scheme by the end of last December.
Councils had been criticised for the speed that they were housing people.
Oxfam Cymru welcomed the figures, with Conwy and Denbighshire the latest authorities to become involved.
The charity's Matthew Hemsley said: ""Wales has a proud history of welcoming those in need and it is important to see that tradition being continued.""
The majority of the refugees in Wales were taken in the second half of 2016 - 285.
A total of 5,454 people have been resettled in the UK.
The figures from the Home Office come after the Welsh Local Government Association said Syrian refugees were expected to have been housed in all council areas across Wales by the end of 2016.
In August 2016, it was reported that only nine of Wales 22 councils had taken part up to the end of June.
The statistics said that one authority - Pembrokeshire - was yet to house refugees from the programme at least by the period covered by the figures, which run from October 2015 to December 2016.
However the council says it plans to resettle a family in the county by the beginning of April.","The number of Syrian refugees resettled in Wales has reached at least 397, according to figures from the Home Office.","All but one Welsh council had resettled refugees from the UK government's Syrian Vulnerable Persons Resettlement Scheme by the end of last December.
Councils had been criticised for the speed that they were housing people.
Oxfam Cymru welcomed the figures, with Conwy and Denbighshire the latest authorities to become involved.
The charity's Matthew Hemsley said: ""Wales has a proud history of welcoming those in need and it is important to see that tradition being continued.""
The majority of the refugees in Wales were taken in the second half of 2016 - 285.
A total of 5,454 people have been resettled in the UK.
The figures from the Home Office come after the Welsh Local Government Association said Syrian refugees were expected to have been housed in all council areas across Wales by the end of 2016.
In August 2016, it was reported that only nine of Wales 22 councils had taken part up to the end of June.
The statistics said that one authority - Pembrokeshire - was yet to house refugees from the programme at least by the period covered by the figures, which run from October 2015 to December 2016.
However the council says it plans to resettle a family in the county by the beginning of April.","More than 1,000 Syrian refugees have been resettled in Wales since the start of 2016, Home Office figures show.","All but one Welsh council had resettled refugees from the UK government's Syrian Vulnerable Persons Resettlement Scheme by the end of last December. Councils had been criticised for the speed that they were housing people. Oxfam Cymru welcomed the figures, with Conwy and Denbighshire the latest authorities to become involved."
"His daughter said he had died at Val de Grace military hospital in Paris on Tuesday evening.
Raymond Aubrac and his late wife Lucie became important members of Jean Moulin's underground Resistance movement in 1942.
Aubrac was arrested in June 1943 with Moulin, who died after torture.
In a recent BBC interview, he described how their arrests by the Gestapo at a doctor's surgery in the suburb of Caluire in Lyon had come as ""a shock but not a surprise"".
Jean Moulin, who had been sent by Gen Charles de Gaulle to organise the underground resistance to Nazi occupation, was tortured, taken to Paris and later died on a train to Berlin.
But Raymond Aubrac escaped when a group of fighters including his wife attacked a lorry moving him and other members of the Resistance from jail in Lyon.
Born as Raymond Samuel in 1914, Aubrac was Jewish.
He studied engineering and married Lucie Bernard after war broke out. After his escape from jail, the couple reached London in February 1944.
Their story and their Resistance work with Jean Moulin became legendary in France and the couple gave a number of talks to schools and colleges about their experience.
After France was liberated, Aubrac was given the task of supervising reconstruction efforts in the port city of Marseille. From 1964-75 he served as a director at the UN's Food and Agriculture Organization in Rome.
He twice gave evidence after the war against Rene Hardy, a fellow Resistance member who was accused of betraying his colleagues but was later acquitted.
In 2010, he travelled to London with President Nicolas Sarkozy to commemorate the 70th anniversary of Gen de Gaulle's appeal to the French people after the country had fallen to the Nazis.
Raymond Aubrac remained politically active until he died and gave his backing to Socialist presidential candidate Francois Hollande.
In tribute, President Sarkozy described him as an ""heroic figure"" whose ""escape, thanks to the courage of his wife Lucie Aubrac, has entered into the legend of Resistance history"".
Centrist presidential candidate Francois Bayrou praised him as a ""major emblematic figure"".","One of the leading figures of the French resistance against the Nazis, Raymond Aubrac, has died aged 97, his family says.","His daughter said he had died at Val de Grace military hospital in Paris on Tuesday evening.
Raymond Aubrac and his late wife Lucie became important members of Jean Moulin's underground Resistance movement in 1942.
Aubrac was arrested in June 1943 with Moulin, who died after torture.
In a recent BBC interview, he described how their arrests by the Gestapo at a doctor's surgery in the suburb of Caluire in Lyon had come as ""a shock but not a surprise"".
Jean Moulin, who had been sent by Gen Charles de Gaulle to organise the underground resistance to Nazi occupation, was tortured, taken to Paris and later died on a train to Berlin.
But Raymond Aubrac escaped when a group of fighters including his wife attacked a lorry moving him and other members of the Resistance from jail in Lyon.
Born as Raymond Samuel in 1914, Aubrac was Jewish.
He studied engineering and married Lucie Bernard after war broke out. After his escape from jail, the couple reached London in February 1944.
Their story and their Resistance work with Jean Moulin became legendary in France and the couple gave a number of talks to schools and colleges about their experience.
After France was liberated, Aubrac was given the task of supervising reconstruction efforts in the port city of Marseille. From 1964-75 he served as a director at the UN's Food and Agriculture Organization in Rome.
He twice gave evidence after the war against Rene Hardy, a fellow Resistance member who was accused of betraying his colleagues but was later acquitted.
In 2010, he travelled to London with President Nicolas Sarkozy to commemorate the 70th anniversary of Gen de Gaulle's appeal to the French people after the country had fallen to the Nazis.
Raymond Aubrac remained politically active until he died and gave his backing to Socialist presidential candidate Francois Hollande.
In tribute, President Sarkozy described him as an ""heroic figure"" whose ""escape, thanks to the courage of his wife Lucie Aubrac, has entered into the legend of Resistance history"".
Centrist presidential candidate Francois Bayrou praised him as a ""major emblematic figure"".","Raymond Aubrac, a French Resistance fighter who escaped from Nazi concentration camps during World War Two, has died at the age of 100.","His daughter said he had died at Val de Grace military hospital in Paris on Tuesday evening. Raymond Aubrac and his late wife Lucie became important members of Jean Moulin's underground Resistance movement in 1942. Aubrac was arrested in June 1943 with Moulin, who died after torture."
